time,Va,Vb,Vc,Ia,Ib,Ic,Pa,Pb,Pc,P_total
17.441574415744157,160.84848854731163,-338.70378817722553,177.8552996300215,2.8533839866906034,-32.94703377136624,30.093649784677545,458.9625015042859,11159.285147564728,5352.315099414757,16970.56274848377
17.441774417744178,179.25763524085798,-338.65195942835305,159.39432418761496,5.133134832875683,-33.869546364542195,28.736411531669944,920.1536115137717,11469.988241301666,4580.420895667716,16970.562748483153
17.4419744197442,196.95931979860708,-337.263599389267,140.30427959079157,7.392627135945867,-34.65838865922656,27.265761523285637,1456.0468122206228,11689.0129082429,3825.503028018915,16970.562748482436
17.44217442174422,213.8836803619687,-334.5441873923103,120.66050703048467,9.622943533756999,-35.310447393025484,25.687503859274923,2058.190578915355,11812.904929558632,3099.467240007644,16970.562748481632
17.442374423744237,229.96392287614194,-330.5044559289001,100.54053305291198,11.815281810404521,-35.82314913655614,24.007867326159527,2717.088555007748,11839.710415037334,2413.7637784356675,16970.56274848075
17.442574425744258,245.13658470192317,-325.16034829218734,80.02376359042813,13.96098963536912,-36.19447044982749,22.23348081446771,3422.3493182733337,11769.00661771719,1779.2068124892837,16970.562748479806
17.44277442774428,259.34178507736095,-318.53295565525536,59.19117057806787,16.05159871080481,-36.42294586794866,20.371347157154585,4162.8502630055855,11601.908600989058,1205.803884484175,16970.56274847882
17.442974429744297,272.52346144506856,-310.6484338322624,38.12497238737616,18.078858192779723,-36.50767368479634,18.428815492028708,4926.913013670866,11341.051653041282,702.5980817656445,16970.562748477794
17.443174431744318,284.6295907112057,-301.53790005042924,16.90830933941391,20.034767254439416,-36.44831951170524,16.413552257279225,5702.487603625357,10990.549725926685,277.5254189247126,16970.562748476754
17.44337443374434,295.612394558679,-291.2373101434728,-4.3750844150084,21.911606661894524,-36.245117597159094,14.333510935279223,6477.342513950543,10555.930554830467,-62.71032030529261,16970.562748475717
17.44357443574436,305.42852801165765,-279.7873166466437,-25.641211364809664,23.701969239356067,-35.89886990231437,12.196900662974148,7239.257575754113,10044.048480615498,-312.7433078949072,16970.562748474706
17.443774437744377,314.0392505012988,-267.2331083569334,-46.80614214415539,25.398789102375233,-35.41094293596621,10.012153833607965,7976.216693350474,9462.976350628245,-468.63029550500465,16970.562748473712
17.443974439744398,321.4105787606113,-253.62423198922988,-67.78634677116649,26.99536954431558,-34.7832623614245,7.7878928171269735,8676.597349095051,8821.878202496175,-527.9128031184457,16970.56274847278
17.44417444174442,327.5134209428187,-239.0143966352497,-88.49902430734998,28.48540946557575,-34.01830539669084,5.532895931134142,9329.353901027662,8130.864738943721,-489.6558914994783,16970.562748471904
17.444374443744437,332.32369143633946,-223.46126179357336,-108.86242964254389,29.86302824172865,-33.11909103780321,3.2560627960945316,9924.191782758922,7400.833872763732,-354.4629070515457,16970.562748471108
17.444574445744458,335.82240592167756,-207.0262098089009,-128.79619611255208,31.122788932158908,-32.089168143967505,0.9663792118294094,10451.729858190163,6643.298856766115,-124.46596648587413,16970.562748470405
17.44477444774448,337.9957562951221,-189.77410361952386,-148.22165267537218,32.25971973756417,-30.93260143156815,-1.3271183059744467,10903.648370566678,5870.206709295846,196.70766860727275,16970.562748469794
17.4449744497445,338.8351651641077,-171.77303076836267,-167.0621343955184,33.269333621739875,-29.65395543230808,-3.615378189409543,11272.820152622033,5093.749798877511,603.992796969763,16970.562748469307
