time,Va,Vb,Vc,Ia,Ib,Ic,Pa,Pb,Pc,P_total
0.0,0.0,-293.44931419241726,293.44931419241726,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0002000020000200002,21.27653395707588,-303.5085144040491,282.2319804469731,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0004000040000400004,42.46909747609911,-312.36988122051247,269.9007837444134,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0006000060000600007,63.49405151859936,-319.99844217614077,256.5043906575415,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0008000080000800008,84.26841853736208,-326.3640902240602,242.0956716866982,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0010000100001000011,104.71020995744588,-331.4417025573253,226.73149259987946,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0012000120001200013,124.7387497541003,-335.2112397591426,210.47249000504235,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0014000140001400015,144.27499285054392,-337.65782489087485,193.38283204033098,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0016000160001600017,163.2418370790072,-338.77180220569517,175.52996512668798,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0018000180001800019,181.56442747384807,-338.5487752561701,156.98434778232203,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0020000200002000023,199.17045169580967,-336.9896242453763,137.8191725495667,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0022000220002200022,215.99042542149294,-334.1005025530717,118.11007713157885,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0024000240002400026,231.95796657171954,-329.8928124506307,97.93484587891123,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0026000260002600026,247.01005729650913,-324.3831601005893,77.37310280408022,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.002800028000280003,261.08729268271577,-317.5932900183974,56.50599733568175,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.003000030000300003,274.1341152027676,-309.5499992550349,35.41588405226752,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0032000320003200034,286.09903397923074,-300.2850316391793,14.185997659948736,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0034000340003400038,296.93482799984116,-289.83495249631153,-7.0998755035294385,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0036000360003600037,306.59873248099274,-278.24100433919625,-28.35772814179644,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.003800038000380004,315.0526076441758,-265.54894409927135,-49.503663544904335,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0040000400004000045,322.2630892392672,-251.80886254133387,-70.45422669793321,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0042000420004200045,328.2017202206159,-237.07498657422272,-91.12673364639315,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0044000440004400045,332.84506305624706,-221.40546523770473,-111.43959781854225,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.004600046000460004,336.17479222694186,-204.8621402101924,-131.31265201674935,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.004800048000480005,338.1777665501364,-187.51030174301178,-150.6674648071245,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005000050000500005,338.84608104320205,-169.41843098445742,-169.42765005874452,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005200052000520005,338.1770981214244,-150.6579297105824,-187.51916841084184,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005400054000540006,336.1734580075534,-131.30283852937436,-204.87061947817892,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005600056000560006,332.8430683118417,-111.42954467046002,-221.41352364138152,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005800058000580006,328.199072823696,-91.11648051357975,-237.08259231011615,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006000060000600006,322.2597996381077,-70.44381404562856,-251.815985592479,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006200062000620007,315.0486888215892,-49.493132467911636,-265.5555563536775,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006400064000640007,306.5941999030908,-28.34712020229635,-278.2470797007943,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006600066000660007,296.92969955499564,-7.089232567050045,-289.84046698794555,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0068000680006800075,286.09332990747515,14.196633589759953,-300.289963497235,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.0070000700007000075,274.12785801591735,35.42647099941515,-309.5543290153325,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.0072000720007200075,261.0805070755224,56.516493517487035,-317.5970005930094,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.007400074000740007,247.00277004919968,77.38346679608046,-324.3862368452801,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.007600076000760008,231.95020644430488,97.9450367783471,-329.8952432226519,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.007800078000780008,215.982223040263,118.12005471882192,-334.1022777590848,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.008000080000800009,199.16183943246307,137.82889744685127,-336.9907368793143,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.008200082000820008,181.55543931773337,156.9937816091538,-338.5492209268871,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.008400084000840009,163.2325085029794,175.53907065131807,-338.7715791542974,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00860008600086001,144.2653606709667,193.3915733266953,-337.6569339976619,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.008800088000880009,124.72885198554624,210.48083255458707,-335.20968454013325,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00900009000090001,104.70008566266647,226.73940348771478,-331.43948915038123,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.009200092000920009,84.25810767312245,242.10311969153963,-326.3612273646621,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00940009400094001,63.48359477798356,256.51134638492897,-319.99494116291254,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00960009600096001,42.4585361279102,269.90721974272,-312.3657558706302,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.00980009800098001,21.265909682963652,282.23787131574585,-303.5037809987095,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.01000010000100001,-0.010645270041381622,293.45463668262363,-293.44399141258236,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.010200102001020011,-21.287158210188792,303.5132475098318,-282.2260892996431,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.01040010400104001,-42.479658782371814,312.37400626209194,-269.8943474797201,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
