start_idx,end_idx,avg_power,duration_sec,energy_kwh,cluster,appliance
0,4770,0.07529000698812019,865373.519,0.01762018459259259,1,TV_LIGHTS
4770,4925,13.184946236559139,11602.947,0.046721502861111125,0,AC
4925,4935,46.06,134.819,0.0019237232129629628,0,AC
4935,4990,71.41575757575758,895.635,0.01763802788888889,0,AC
4990,5010,38.92,285.523,0.0031172513240740737,0,AC
5010,5200,8.737894736842106,2870.705,0.006996496527777778,0,AC
5200,5295,41.7378947368421,1464.538,0.017154796638888886,0,AC
5295,5450,9.147096774193548,2321.124,0.005968930546296295,0,AC
5450,5540,40.54148148148149,1346.058,0.015334402314814812,0,AC
5540,5560,15.431666666666667,285.409,0.0012895666851851853,0,AC
5560,5685,26.43253333333333,1923.382,0.014178273083333333,0,AC
5685,5775,55.574074074074076,1356.093,0.021320320685185183,0,AC
5775,5925,25.84,2283.66,0.016552467546296294,0,AC
5925,6000,57.71644444444445,1125.917,0.018312431370370367,0,AC
6000,6015,34.617777777777775,209.71,0.0021578332222222225,0,AC
6015,6160,9.645057471264368,2232.437,0.006035007842592592,0,AC
6160,6245,39.70470588235294,1338.382,0.014808401694444442,0,AC
6245,6390,8.651034482758622,2202.765,0.005392495361111111,0,AC
6390,6470,41.549166666666665,1249.723,0.014364540814814815,0,AC
6470,6590,9.165555555555557,2207.863,0.005730621768518518,0,AC
6590,6700,40.69212121212122,1652.651,0.01886704127777778,0,AC
6700,6885,10.1963963963964,2927.345,0.008351685750000004,0,AC
6885,6995,38.95151515151516,1652.836,0.018068218194444447,0,AC
6995,7115,9.515555555555563,1926.588,0.005190106092592597,0,AC
7120,7165,181.31925925925927,703.198,0.0364111485925926,0,AC
7165,7190,7.2200000000000095,360.377,0.0007528848333333343,0,AC
7190,7250,40.66333333333334,886.152,0.010182920472222223,0,AC
7250,7355,52.04603174603176,1641.518,0.02399796952777778,0,AC
7355,7365,37.19333333333334,135.306,0.001559328555555556,0,AC
7365,7415,9.000000000000009,751.105,0.0019535720277777794,0,AC
7415,7475,25.749444444444453,904.443,0.0065502154629629656,0,AC
7475,7535,9.484444444444454,901.995,0.002417704972222225,0,AC
7535,7640,41.016507936507956,1604.818,0.01835572033333334,0,AC
7640,7785,8.498390804597713,2220.575,0.005266299083333341,0,AC
7785,7885,39.69466666666668,1500.163,0.01671255283333334,0,AC
7885,8035,10.56222222222223,2317.026,0.006890264805555562,0,AC
8035,8130,39.30245614035088,1410.263,0.015566590185185188,0,AC
8130,8285,8.851612903225817,2325.527,0.005766843259259266,0,AC
8285,8375,40.18777777777779,1359.172,0.015353489759259263,0,AC
8375,8525,11.04155555555556,2377.762,0.007266635370370372,0,AC
8525,8615,40.14555555555556,1346.988,0.015153020814814816,0,AC
8615,8775,9.988541666666672,2487.539,0.006946683092592595,0,AC
8775,8865,37.40851851851853,1371.004,0.014338952027777779,0,AC
8865,9050,9.963063063063066,2776.232,0.007730970796296298,0,AC
9050,9135,39.0364705882353,1471.512,0.016197596666666664,0,AC
9135,9320,8.002702702702702,2787.872,0.0062255245833333335,0,AC
9320,9420,37.33966666666667,1486.018,0.015543560574074074,0,AC
9420,9630,7.823650793650798,3185.807,0.006980130083333338,0,AC
9630,9685,37.855757575757586,1628.281,0.01553530751851852,0,AC
9685,9860,8.735809523809527,2752.627,0.006701879222222225,0,AC
9860,9865,204.54666666666668,60.726,0.00436831649074074,0,AC
9865,9870,2703.06,62.189,0.05786069153703703,0,AC
